Symbol,Name,매출총이익(천원),EBIT(천원),수정EPS(원),수정BPS(원),총자산(천원),총자본(천원),매출총이익/총자산,영업이익(EBIT)/총자본,PER,PBR,Price
A180640,한진칼,110386762.18,42843084.23,5722.82,41030.2,3784921894.23,2853875519.76,0.0291648718955816,0.0150122470070463,12.721001184730603,1.77430283059795,72800
A000720,현대건설,1702808000.0,785430000.0,4767.39,72383.4,23714495000.0,10455515000.0,0.0718045229299633,0.0751211202891488,7.320567438367744,0.4821547481881205,34900
A277810,레인보우로보틱스,7274987.05,-44589778.38,-46.25,6734.9,132611487.31,130656200.15,0.0548594031902649,-0.3412756404120788,-3805.4054054054054,26.132533519428648,176000
A058470,리노공업,128334625.13,114378400.29,7277.28,36702.15,582869465.29,557074198.06,0.2201773000171635,0.2053198670631678,27.826330716971174,5.517387945937772,202500
A016360,삼성증권,1647003027.85,741117973.83,6129.96,74162.48,56507909508.83,6622709394.53,0.0291464158233041,0.1119055555181273,6.2806282585857005,0.5191304282165322,38500
A079550,LIG넥스원,346792172.97,186378438.94,7952.82,48075.91,3815758833.28,1052359009.28,0.0908841958106403,0.1771053768689792,16.40927369159619,2.714457199042098,130500
A035250,강원랜드,409195533.17,282263014.86,1593.43,18004.85,4448655838.22,3677900816.26,0.0919818363233348,0.0767456842805861,10.04123180811206,0.8886494472322736,16000
A271560,오리온,1127410996.36,492391149.51,9526.64,72414.87,3521385127.84,2955476949.34,0.3201612307176262,0.1666029402191608,12.186878059840616,1.6032618714913112,116100
A006260,LS,2367365000.0,901702000.0,13539.25,151294.91,18245954000.0,6750601000.0,0.129747394956712,0.1335735884849364,6.883690012371439,0.6160154363421744,93200
A064350,현대로템,464398450.0,210046594.0,1475.39,15391.42,5241484775.0,1646976156.0,0.0886005530751541,0.1275346903079269,18.02913128054277,1.7282356013935036,26600
A001040,CJ,11397395326.0,2039057889.0,5461.87,158764.21,47203762893.0,17892818574.0,0.2414509909270423,0.113959568782693,17.283457863332522,0.5945924462446542,94400
A003410,쌍용C&E,363849391.14,184113128.23,437.03,3239.69,3639543304.96,1578942444.45,0.0999711668890278,0.1166053448478503,13.15699151088026,1.774861174988965,5750
A039490,키움증권,1159634616.4,564659042.17,15020.89,172846.76,52046420344.89,4904099124.22,0.0222807756751681,0.1151402179824024,6.624108158704312,0.5756544120352617,99500
A272210,한화시스템,304309138.75,92870721.11,1848.52,11507.23,4483210824.74,2154126164.0,0.0678774991063794,0.0431129442007928,9.391296821240775,1.508616756595636,17360
A065350,신성델타테크,97564788.75,28414044.13,455.87,7574.49,692344676.79,307573599.69,0.1409193888835128,0.0923812842150243,90.26696207252068,5.432709000870026,41150
A018880,한온시스템,908182409.01,277278601.6,95.51,4445.18,9244404434.13,2508486580.6,0.098241310782231,0.1105362108549443,76.32708616898753,1.6399785835444234,7290
A004990,롯데지주,4443316215.47,493689284.14,-145.28,83071.29,23160430746.45,9672841607.5,0.1918494636008039,0.0510387023971538,-186.19218061674007,0.325623930963393,27050
A001450,현대해상,13181325183.39,788215580.22,6798.98,68490.81,44087986399.07,6055391876.25,0.2989777093486866,0.1301675591486456,4.5595074555300945,0.4526154676809925,31000
A008930,한미사이언스,1247906379.06,57011915.71,1645.61,11899.21,1226170046.39,787472469.38,1.0177270132588825,0.0723986144618962,23.820953931976593,3.2943363466986466,39200
A010120,LS ELECTRIC,773433562.06,324877723.04,6865.39,57904.6,3732891934.23,1724042303.16,0.2071942010878328,0.1884395310048547,10.662176511458195,1.2641482714672063,73200
A088350,한화생명,9810510322.0,1057044424.91,873.29,16075.73,147901842899.94,15475087526.21,0.0663312243420597,0.0683062000857633,3.240618809330234,0.1760417722865462,2830
A383220,F&F,1346238456.95,551835228.99,11096.48,34187.7,2005097998.97,1317741413.51,0.671407810312289,0.418773534270358,8.038585209003216,2.609125504201804,89200
A000120,CJ대한통운,1299127546.13,480234863.15,9854.45,170303.52,9357587266.74,4043096242.87,0.1388314646818774,0.1187789838040324,12.907874107636651,0.7469017669159158,127200
A138930,BNK금융지주,2905454313.61,801174464.9,1972.09,31745.94,145783633894.26,10673702081.3,0.0199299073290859,0.075060598356369,3.6205244182567737,0.2249106499917784,7140
A010620,HD현대미포,-30672364.0,-152916345.0,-3578.65,49484.79,4909071433.0,2015213237.0,-0.006248098936555,-0.075880974872735,-23.724030011317115,1.715678696423689,84900
A175330,JB금융지주,1906577000.0,799978000.0,2974.78,25625.62,63403970000.0,5115950000.0,0.0300703094774664,0.1563693937587349,3.828854570758174,0.4444770507016025,11390
A036460,한국가스공사,1957123074.3,1553418857.6,-8245.98,105937.42,57254666338.28,9826038102.99,0.0341827697106232,0.158092085672587,-2.995398970164856,0.2331565182538899,24700
A052690,한전기술,127884521.77,28562398.33,854.38,14589.45,855008772.8,547308411.73,0.1495710053958875,0.0521870260311118,72.6842856808446,4.256500416396779,62100
A002380,KCC,1328499768.78,312530203.93,23931.07,616916.43,13353471078.39,5447529409.51,0.0994872240319536,0.0573709989310754,9.54825672232792,0.370390524369727,228500
A000150,두산,3245069266.93,1436262204.45,-18132.57,84486.96,28286808651.58,11206738545.7,0.1147202325614325,0.1281605882561693,-5.178526816661951,1.1114141164506333,93900
A035900,JYP Ent.,268283578.8,169443909.94,2970.71,11435.11,571533446.14,398042670.93,0.4694101117124869,0.425692827213991,34.09959235334314,8.858681726717101,101300
A007660,이수페타시스,116447699.79,62169058.4,754.56,4218.08,626436318.5,266778163.29,0.1858891260788226,0.2330365335502344,39.02936810856659,6.981849561885976,29450
A357780,솔브레인,193079287.57,133488376.25,16759.26,115654.36,995442871.27,918822162.39,0.1939632028542901,0.1452820596999705,18.139225717603285,2.6285217435814783,304000
A028670,팬오션,499828000.0,385854000.0,458.39,8817.1,7853946000.0,4713351000.0,0.0636403662566562,0.081864049590196,8.148083509675168,0.4236086695171882,3735
A081660,휠라홀딩스,1970222361.0,303493542.62,700.89,31737.07,4980149550.86,2553918905.27,0.3956150996830549,0.1188344477163086,55.21551170654454,1.2193942288938455,38700
A112040,위메이드,605252428.31,-110440776.86,-5913.36,7760.91,1417739361.0,400778285.0,0.4269137508343467,-0.2755657703859878,-10.29871342181095,7.847017939906531,60900
A039030,이오테크닉스,85140743.03,28334755.25,2972.91,46382.8,611678998.44,562459514.54,0.1391918690148579,0.0503765240297751,51.43108940398465,3.296480591943565,152900
A214150,클래시스,140449064.34,89622382.06,1145.86,4685.33,375443021.75,283500499.66,0.3740888928640741,0.3161277746158593,32.94468783271953,8.057063216465009,37750
A005290,동진쎄미켐,300092137.32,176174316.07,2476.24,15658.08,1606588027.0,835481646.77,0.1867884811020068,0.210865572871763,15.628533583174493,2.4715673952361974,38700
A012750,에스원,616898425.52,212609320.69,4986.35,46149.27,2179505358.17,1597906768.65,0.2830451520605448,0.1330548971074351,12.032849679625375,1.3001289077812066,60000
A014680,한솔케미칼,204960107.11,124144351.48,9293.73,79864.56,1350979663.14,941487453.3,0.1517122075943198,0.1318598044454683,24.425069374728984,2.842312034274026,227000
A008770,호텔신라,3568466181.32,91230447.82,2149.47,17823.42,3006538770.2,608492780.18,1.1869017678034532,0.1499285624934002,30.42610503984703,3.6693294552897258,65400
A002790,아모레G,2855765472.99,152001477.21,1242.8,36592.74,7631430777.86,6525132028.64,0.3742110170579063,0.0232947741965737,23.535564853556487,0.7993388852542882,29250
A298040,효성중공업,637542681.88,257836947.61,12438.37,115932.97,4761300218.43,1224159409.65,0.133900962474957,0.2106236700690135,13.016174948968391,1.3964966135172765,161900
A004370,농심,1035239667.91,212064743.46,28261.5,412814.29,3234751426.45,2440801761.17,0.3200368533560339,0.0868832310897492,14.401217203616229,0.9859154827222671,407000
A020150,롯데에너지머티리얼즈,69407821.65,11805382.26,-705.78,31088.04,2392246607.93,1965832679.84,0.0290136566271728,0.0060052833494256,-59.57947235682508,1.3526101999354092,42050
A007070,GS리테일,2960024069.83,393955339.63,168.82,39405.76,10042015942.61,4433739107.73,0.2947639285524442,0.0888539740516438,136.53595545551477,0.5849398666590874,23050
A112610,씨에스윈드,205855857.38,104666101.62,471.29,22277.22,2832647674.55,944418879.01,0.0726725950528608,0.1108259311056103,148.95287402660782,3.1512010924163785,70200
A457190,이수스페셜티케미컬,8026526.12,-6119544.61,-223.69,3601.18,217960142.41,94988539.13,0.0368256601012008,-0.0644240312152277,-706.7817068264116,43.902276476043966,158100
A000880,한화,6399738000.0,2411920000.0,3886.12,110283.93,209738149000.0,33198739000.0,0.0305129897947177,0.0726509521942987,6.626146387656583,0.2334882335078193,25750
A145020,휴젤,246162831.21,117781785.96,7516.8,75778.7,929250642.0,779678035.47,0.2649046662805534,0.1510646454071257,19.875478927203066,1.9715302585027192,149400
A030000,제일기획,1618937945.73,307522766.41,1628.13,13641.31,2889504607.29,1297763755.81,0.5602821818125996,0.2369635960576349,11.688255851805446,1.3950273104269313,19030
A067630,HLB생명과학,-748573.85,-24532796.11,-58.79,2272.35,423500447.55,231212934.28,-0.0017675869159775,-0.1061047738803862,-194.76101377785335,5.038836446850177,11450
A023530,롯데쇼핑,6774705239.17,508404731.64,6165.12,335727.91,30644698696.53,10836449718.81,0.2210726659856872,0.0469161713321575,12.16521332918094,0.2233951892769356,75000
